Team,Coach,Coach URL,Games,Wins,Losses
ATL,Quin Snyder,https://www.basketball-reference.com/teams/ATL/2025.html,82,40,42
BOS,Joe Mazzulla,https://www.basketball-reference.com/teams/BOS/2025.html,82,61,21
BRK,Jordi Fernandez,https://www.basketball-reference.com/teams/BRK/2025.html,82,26,56
CHI,Billy Donovan,https://www.basketball-reference.com/teams/CHI/2025.html,82,39,43
CHO,Charles Lee,https://www.basketball-reference.com/teams/CHO/2025.html,82,19,63
CLE,Kenny Atkinson,https://www.basketball-reference.com/teams/CLE/2025.html,82,64,18
DAL,Jason Kidd,https://www.basketball-reference.com/teams/DAL/2025.html,82,39,43
DEN,Michael Malone,https://www.basketball-reference.com/teams/DEN/2025.html,79,47,32
DEN,David Adelman,https://www.basketball-reference.com/teams/DEN/2025.html,3,3,0
DET,J.B. Bickerstaff,https://www.basketball-reference.com/teams/DET/2025.html,82,44,38
GSW,Steve Kerr,https://www.basketball-reference.com/teams/GSW/2025.html,82,48,34
HOU,Ime Udoka,https://www.basketball-reference.com/teams/HOU/2025.html,82,52,30
IND,Rick Carlisle,https://www.basketball-reference.com/teams/IND/2025.html,82,50,32
LAC,Tyronn Lue,https://www.basketball-reference.com/teams/LAC/2025.html,82,50,32
LAL,JJ Redick,https://www.basketball-reference.com/teams/LAL/2025.html,82,50,32
MEM,Taylor Jenkins,https://www.basketball-reference.com/teams/MEM/2025.html,73,44,29
MEM,Tuomas Iisalo,https://www.basketball-reference.com/teams/MEM/2025.html,9,4,5
MIA,Erik Spoelstra,https://www.basketball-reference.com/teams/MIA/2025.html,82,37,45
MIL,Doc Rivers,https://www.basketball-reference.com/teams/MIL/2025.html,82,48,34
MIN,Chris Finch,https://www.basketball-reference.com/teams/MIN/2025.html,82,49,33
NOP,Willie Green,https://www.basketball-reference.com/teams/NOP/2025.html,82,21,61
NYK,Tom Thibodeau,https://www.basketball-reference.com/teams/NYK/2025.html,82,51,31
OKC,Mark Daigneault,https://www.basketball-reference.com/teams/OKC/2025.html,82,68,14
ORL,Jamahl Mosley,https://www.basketball-reference.com/teams/ORL/2025.html,82,41,41
PHI,Nick Nurse,https://www.basketball-reference.com/teams/PHI/2025.html,82,24,58
PHO,Mike Budenholzer,https://www.basketball-reference.com/teams/PHO/2025.html,82,36,46
POR,Chauncey Billups,https://www.basketball-reference.com/teams/POR/2025.html,82,36,46
SAC,Mike Brown,https://www.basketball-reference.com/teams/SAC/2025.html,31,13,18
SAC,Doug Christie,https://www.basketball-reference.com/teams/SAC/2025.html,51,27,24
SAS,Gregg Popovich,https://www.basketball-reference.com/teams/SAS/2025.html,82,34,48
TOR,Darko Rajakovic,https://www.basketball-reference.com/teams/TOR/2025.html,82,30,52
UTA,Will Hardy,https://www.basketball-reference.com/teams/UTA/2025.html,82,17,65
WAS,Brian Keefe,https://www.basketball-reference.com/teams/WAS/2025.html,82,18,64
